"sampleName","taxon","type","degdays","counts","fracBySample"
"R1B","f__Clostridiaceae","Rib",0,0,0
"R1B","f__Comamonadaceae","Rib",0,0,0
"R1B","f__Enterobacteriaceae","Rib",0,121,0.0277777777777778
"R1B","f__Flavobacteriaceae","Rib",0,85,0.0195133149678604
"R1B","f__Holophagaceae","Rib",0,0,0
"R1B","f__Mogibacteriaceae","Rib",0,0,0
"R1B","f__Moraxellaceae","Rib",0,1561,0.358356290174472
"R1B","f__Phormidiaceae","Rib",0,1,0.00022956841138659
"R1B","f__Porphyromonadaceae","Rib",0,0,0
"R1B","f__Pseudomonadaceae","Rib",0,1620,0.371900826446281
"R1B","f__Rhodocyclaceae","Rib",0,0,0
"R1B","f__Rikenellaceae","Rib",0,0,0
"R1B","f__Ruminococcaceae","Rib",0,0,0
"R1B","f__Sediment_4","Rib",0,0,0
"R1B","f__Spirochaetaceae","Rib",0,0,0
"R1B","f__Syntrophomonadaceae","Rib",0,0,0
"R1B","f__Veillonellaceae","Rib",0,0,0
"R1B","Rare","Rib",0,968,0.222222222222222
"R1C10","f__Clostridiaceae","Rib",2496,907,0.251385809312639
"R1C10","f__Comamonadaceae","Rib",2496,0,0
"R1C10","f__Enterobacteriaceae","Rib",2496,21,0.00582039911308204
"R1C10","f__Flavobacteriaceae","Rib",2496,0,0
"R1C10","f__Holophagaceae","Rib",2496,788,0.21840354767184
"R1C10","f__Mogibacteriaceae","Rib",2496,45,0.0124722838137472
"R1C10","f__Moraxellaceae","Rib",2496,1,0.00027716186252771
"R1C10","f__Phormidiaceae","Rib",2496,58,0.0160753880266075
"R1C10","f__Porphyromonadaceae","Rib",2496,21,0.00582039911308204
"R1C10","f__Pseudomonadaceae","Rib",2496,0,0
"R1C10","f__Rhodocyclaceae","Rib",2496,0,0
"R1C10","f__Rikenellaceae","Rib",2496,189,0.0523835920177384
"R1C10","f__Ruminococcaceae","Rib",2496,331,0.0917405764966741
"R1C10","f__Sediment_4","Rib",2496,31,0.0085920177383592
"R1C10","f__Spirochaetaceae","Rib",2496,242,0.0670731707317073
"R1C10","f__Syntrophomonadaceae","Rib",2496,751,0.208148558758315
"R1C10","f__Veillonellaceae","Rib",2496,151,0.0418514412416851
"R1C10","Rare","Rib",2496,72,0.0199556541019956
"R1C12","f__Clostridiaceae","Rib",3103,1234,0.338267543859649
"R1C12","f__Comamonadaceae","Rib",3103,1,0.00027412280701754
"R1C12","f__Enterobacteriaceae","Rib",3103,0,0
"R1C12","f__Flavobacteriaceae","Rib",3103,0,0
"R1C12","f__Holophagaceae","Rib",3103,157,0.0430372807017544
"R1C12","f__Mogibacteriaceae","Rib",3103,27,0.00740131578947368
"R1C12","f__Moraxellaceae","Rib",3103,0,0
"R1C12","f__Phormidiaceae","Rib",3103,187,0.0512609649122807
"R1C12","f__Porphyromonadaceae","Rib",3103,16,0.0043859649122807
"R1C12","f__Pseudomonadaceae","Rib",3103,0,0
"R1C12","f__Rhodocyclaceae","Rib",3103,5,0.00137061403508772
"R1C12","f__Rikenellaceae","Rib",3103,123,0.0337171052631579
"R1C12","f__Ruminococcaceae","Rib",3103,382,0.104714912280702
"R1C12","f__Sediment_4","Rib",3103,43,0.0117872807017544
"R1C12","f__Spirochaetaceae","Rib",3103,241,0.0660635964912281
"R1C12","f__Syntrophomonadaceae","Rib",3103,862,0.236293859649123
"R1C12","f__Veillonellaceae","Rib",3103,265,0.0726425438596491
"R1C12","Rare","Rib",3103,105,0.0287828947368421
"R1C13","f__Clostridiaceae","Rib",3434,605,0.180435430957352
"R1C13","f__Comamonadaceae","Rib",3434,41,0.0122278556516552
"R1C13","f__Enterobacteriaceae","Rib",3434,56,0.0167014613778706
"R1C13","f__Flavobacteriaceae","Rib",3434,0,0
"R1C13","f__Holophagaceae","Rib",3434,230,0.0685952878019684
"R1C13","f__Mogibacteriaceae","Rib",3434,39,0.0116313748881599
"R1C13","f__Moraxellaceae","Rib",3434,11,0.00328064419922457
"R1C13","f__Phormidiaceae","Rib",3434,113,0.0337011631374888
"R1C13","f__Porphyromonadaceae","Rib",3434,21,0.00626304801670146
"R1C13","f__Pseudomonadaceae","Rib",3434,7,0.00208768267223382
"R1C13","f__Rhodocyclaceae","Rib",3434,35,0.0104384133611691
"R1C13","f__Rikenellaceae","Rib",3434,201,0.0599463167312854
"R1C13","f__Ruminococcaceae","Rib",3434,331,0.0987175663584849
"R1C13","f__Sediment_4","Rib",3434,75,0.0223680286310766
"R1C13","f__Spirochaetaceae","Rib",3434,380,0.113331345064122
"R1C13","f__Syntrophomonadaceae","Rib",3434,497,0.148225469728601
"R1C13","f__Veillonellaceae","Rib",3434,363,0.108261258574411
"R1C13","Rare","Rib",3434,348,0.103787652848195
"R1C15","f__Clostridiaceae","Rib",3962,225,0.0572373441872297
"R1C15","f__Comamonadaceae","Rib",3962,496,0.126176545408293
"R1C15","f__Enterobacteriaceae","Rib",3962,13,0.00330704655303994
"R1C15","f__Flavobacteriaceae","Rib",3962,12,0.00305265835665225
"R1C15","f__Holophagaceae","Rib",3962,2038,0.518443144238107
"R1C15","f__Mogibacteriaceae","Rib",3962,16,0.004070211142203
"R1C15","f__Moraxellaceae","Rib",3962,10,0.00254388196387688
"R1C15","f__Phormidiaceae","Rib",3962,47,0.0119562452302213
"R1C15","f__Porphyromonadaceae","Rib",3962,5,0.00127194098193844
"R1C15","f__Pseudomonadaceae","Rib",3962,34,0.00864919867718138
"R1C15","f__Rhodocyclaceae","Rib",3962,254,0.0646146018824727
"R1C15","f__Rikenellaceae","Rib",3962,34,0.00864919867718138
"R1C15","f__Ruminococcaceae","Rib",3962,118,0.0300178071737471
"R1C15","f__Sediment_4","Rib",3962,16,0.004070211142203
"R1C15","f__Spirochaetaceae","Rib",3962,45,0.0114474688374459
"R1C15","f__Syntrophomonadaceae","Rib",3962,101,0.0256932078351565
"R1C15","f__Veillonellaceae","Rib",3962,84,0.0213686084965658
"R1C15","Rare","Rib",3962,383,0.0974306792164844
"R1C17","f__Clostridiaceae","Rib",4527,1420,0.380085653104925
"R1C17","f__Comamonadaceae","Rib",4527,88,0.0235546038543897
"R1C17","f__Enterobacteriaceae","Rib",4527,85,0.0227516059957173
"R1C17","f__Flavobacteriaceae","Rib",4527,0,0
"R1C17","f__Holophagaceae","Rib",4527,92,0.0246252676659529
"R1C17","f__Mogibacteriaceae","Rib",4527,60,0.0160599571734475
"R1C17","f__Moraxellaceae","Rib",4527,0,0
"R1C17","f__Phormidiaceae","Rib",4527,3,0.00080299785867237
"R1C17","f__Porphyromonadaceae","Rib",4527,0,0
"R1C17","f__Pseudomonadaceae","Rib",4527,6,0.00160599571734475
"R1C17","f__Rhodocyclaceae","Rib",4527,66,0.0176659528907923
"R1C17","f__Rikenellaceae","Rib",4527,35,0.00936830835117773
"R1C17","f__Ruminococcaceae","Rib",4527,364,0.0974304068522484
"R1C17","f__Sediment_4","Rib",4527,10,0.00267665952890792
"R1C17","f__Spirochaetaceae","Rib",4527,209,0.0559421841541756
"R1C17","f__Syntrophomonadaceae","Rib",4527,366,0.09796573875803
"R1C17","f__Veillonellaceae","Rib",4527,764,0.204496788008565
"R1C17","Rare","Rib",4527,168,0.0449678800856531
"R1C2","f__Clostridiaceae","Rib",489,3141,0.72641073080481
"R1C2","f__Comamonadaceae","Rib",489,4,0.00092506938020351
"R1C2","f__Enterobacteriaceae","Rib",489,114,0.0263644773358002
"R1C2","f__Flavobacteriaceae","Rib",489,0,0
"R1C2","f__Holophagaceae","Rib",489,5,0.00115633672525439
"R1C2","f__Mogibacteriaceae","Rib",489,8,0.00185013876040703
"R1C2","f__Moraxellaceae","Rib",489,7,0.00161887141535615
"R1C2","f__Phormidiaceae","Rib",489,1,0.00023126734505087
"R1C2","f__Porphyromonadaceae","Rib",489,6,0.00138760407030527
"R1C2","f__Pseudomonadaceae","Rib",489,4,0.00092506938020351
"R1C2","f__Rhodocyclaceae","Rib",489,4,0.00092506938020351
"R1C2","f__Rikenellaceae","Rib",489,191,0.0441720629047179
"R1C2","f__Ruminococcaceae","Rib",489,98,0.0226641998149861
"R1C2","f__Sediment_4","Rib",489,0,0
"R1C2","f__Spirochaetaceae","Rib",489,0,0
"R1C2","f__Syntrophomonadaceae","Rib",489,0,0
"R1C2","f__Veillonellaceae","Rib",489,681,0.157493061979648
"R1C2","Rare","Rib",489,60,0.0138760407030527
"R1C4","f__Clostridiaceae","Rib",989,2169,0.551067073170732
"R1C4","f__Comamonadaceae","Rib",989,112,0.0284552845528455
"R1C4","f__Enterobacteriaceae","Rib",989,71,0.0180386178861789
"R1C4","f__Flavobacteriaceae","Rib",989,8,0.00203252032520325
"R1C4","f__Holophagaceae","Rib",989,81,0.0205792682926829
"R1C4","f__Mogibacteriaceae","Rib",989,17,0.00431910569105691
"R1C4","f__Moraxellaceae","Rib",989,3,0.00076219512195122
"R1C4","f__Phormidiaceae","Rib",989,0,0
"R1C4","f__Porphyromonadaceae","Rib",989,63,0.0160060975609756
"R1C4","f__Pseudomonadaceae","Rib",989,12,0.00304878048780488
"R1C4","f__Rhodocyclaceae","Rib",989,46,0.0116869918699187
"R1C4","f__Rikenellaceae","Rib",989,406,0.103150406504065
"R1C4","f__Ruminococcaceae","Rib",989,151,0.0383638211382114
"R1C4","f__Sediment_4","Rib",989,0,0
"R1C4","f__Spirochaetaceae","Rib",989,8,0.00203252032520325
"R1C4","f__Syntrophomonadaceae","Rib",989,34,0.00863821138211382
"R1C4","f__Veillonellaceae","Rib",989,482,0.122459349593496
"R1C4","Rare","Rib",989,273,0.0693597560975609
"R1C6","f__Clostridiaceae","Rib",1490,3035,0.743508084272415
"R1C6","f__Comamonadaceae","Rib",1490,2,0.00048995590396864
"R1C6","f__Enterobacteriaceae","Rib",1490,51,0.0124938755512004
"R1C6","f__Flavobacteriaceae","Rib",1490,0,0
"R1C6","f__Holophagaceae","Rib",1490,6,0.00146986771190593
"R1C6","f__Mogibacteriaceae","Rib",1490,44,0.0107790298873101
"R1C6","f__Moraxellaceae","Rib",1490,0,0
"R1C6","f__Phormidiaceae","Rib",1490,3,0.00073493385595296
"R1C6","f__Porphyromonadaceae","Rib",1490,20,0.00489955903968643
"R1C6","f__Pseudomonadaceae","Rib",1490,1,0.00024497795198432
"R1C6","f__Rhodocyclaceae","Rib",1490,1,0.00024497795198432
"R1C6","f__Rikenellaceae","Rib",1490,169,0.0414012738853503
"R1C6","f__Ruminococcaceae","Rib",1490,304,0.0744732974032337
"R1C6","f__Sediment_4","Rib",1490,0,0
"R1C6","f__Spirochaetaceae","Rib",1490,27,0.00661440470357668
"R1C6","f__Syntrophomonadaceae","Rib",1490,70,0.0171484566389025
"R1C6","f__Veillonellaceae","Rib",1490,296,0.0725134737873591
"R1C6","Rare","Rib",1490,53,0.012983831455169
"R1C8","f__Clostridiaceae","Rib",1980,935,0.253113156469951
"R1C8","f__Comamonadaceae","Rib",1980,7,0.00189496480779643
"R1C8","f__Enterobacteriaceae","Rib",1980,140,0.0378992961559285
"R1C8","f__Flavobacteriaceae","Rib",1980,0,0
"R1C8","f__Holophagaceae","Rib",1980,590,0.159718462371413
"R1C8","f__Mogibacteriaceae","Rib",1980,49,0.013264753654575
"R1C8","f__Moraxellaceae","Rib",1980,21,0.00568489442338928
"R1C8","f__Phormidiaceae","Rib",1980,103,0.0278830536004331
"R1C8","f__Porphyromonadaceae","Rib",1980,38,0.010286951813752
"R1C8","f__Pseudomonadaceae","Rib",1980,4,0.00108283703302653
"R1C8","f__Rhodocyclaceae","Rib",1980,3,0.00081212777476989
"R1C8","f__Rikenellaceae","Rib",1980,546,0.147807255008121
"R1C8","f__Ruminococcaceae","Rib",1980,509,0.137791012452626
"R1C8","f__Sediment_4","Rib",1980,9,0.00243638332430969
"R1C8","f__Spirochaetaceae","Rib",1980,94,0.0254466702761234
"R1C8","f__Syntrophomonadaceae","Rib",1980,67,0.0181375203031944
"R1C8","f__Veillonellaceae","Rib",1980,471,0.127504060638874
"R1C8","Rare","Rib",1980,108,0.0292365998917162
"R2B","f__Clostridiaceae","Rib",0,1,0.00022857142857142
"R2B","f__Comamonadaceae","Rib",0,0,0
"R2B","f__Enterobacteriaceae","Rib",0,210,0.048
"R2B","f__Flavobacteriaceae","Rib",0,72,0.0164571428571429
"R2B","f__Holophagaceae","Rib",0,1,0.00022857142857142
"R2B","f__Mogibacteriaceae","Rib",0,0,0
"R2B","f__Moraxellaceae","Rib",0,1607,0.367314285714286
"R2B","f__Phormidiaceae","Rib",0,0,0
"R2B","f__Porphyromonadaceae","Rib",0,0,0
"R2B","f__Pseudomonadaceae","Rib",0,1737,0.397028571428571
"R2B","f__Rhodocyclaceae","Rib",0,0,0
"R2B","f__Rikenellaceae","Rib",0,0,0
"R2B","f__Ruminococcaceae","Rib",0,0,0
"R2B","f__Sediment_4","Rib",0,0,0
"R2B","f__Spirochaetaceae","Rib",0,0,0
"R2B","f__Syntrophomonadaceae","Rib",0,0,0
"R2B","f__Veillonellaceae","Rib",0,0,0
"R2B","Rare","Rib",0,747,0.170742857142858
"R2C10","f__Clostridiaceae","Rib",2496,714,0.196099972535018
"R2C10","f__Comamonadaceae","Rib",2496,0,0
"R2C10","f__Enterobacteriaceae","Rib",2496,2,0.00054929964295523
"R2C10","f__Flavobacteriaceae","Rib",2496,0,0
"R2C10","f__Holophagaceae","Rib",2496,1866,0.512496566877232
"R2C10","f__Mogibacteriaceae","Rib",2496,43,0.0118099423235375
"R2C10","f__Moraxellaceae","Rib",2496,0,0
"R2C10","f__Phormidiaceae","Rib",2496,63,0.0173029387530898
"R2C10","f__Porphyromonadaceae","Rib",2496,21,0.00576764625102994
"R2C10","f__Pseudomonadaceae","Rib",2496,0,0
"R2C10","f__Rhodocyclaceae","Rib",2496,4,0.00109859928591046
"R2C10","f__Rikenellaceae","Rib",2496,153,0.0420214226860753
"R2C10","f__Ruminococcaceae","Rib",2496,166,0.0455918703652843
"R2C10","f__Sediment_4","Rib",2496,5,0.00137324910738808
"R2C10","f__Spirochaetaceae","Rib",2496,123,0.0337819280417468
"R2C10","f__Syntrophomonadaceae","Rib",2496,300,0.0823949464432848
"R2C10","f__Veillonellaceae","Rib",2496,89,0.0244438341115078
"R2C10","Rare","Rib",2496,92,0.0252677835759407
"R2C12","f__Clostridiaceae","Rib",3103,1192,0.319485392656124
"R2C12","f__Comamonadaceae","Rib",3103,2,0.00053604931653712
"R2C12","f__Enterobacteriaceae","Rib",3103,15,0.00402036987402841
"R2C12","f__Flavobacteriaceae","Rib",3103,0,0
"R2C12","f__Holophagaceae","Rib",3103,900,0.241222192441705
"R2C12","f__Mogibacteriaceae","Rib",3103,26,0.00696864111498258
"R2C12","f__Moraxellaceae","Rib",3103,0,0
"R2C12","f__Phormidiaceae","Rib",3103,390,0.104529616724739
"R2C12","f__Porphyromonadaceae","Rib",3103,24,0.00643259179844546
"R2C12","f__Pseudomonadaceae","Rib",3103,1,0.00026802465826856
"R2C12","f__Rhodocyclaceae","Rib",3103,2,0.00053604931653712
"R2C12","f__Rikenellaceae","Rib",3103,122,0.0326990083087644
"R2C12","f__Ruminococcaceae","Rib",3103,230,0.061645671401769
"R2C12","f__Sediment_4","Rib",3103,23,0.0061645671401769
"R2C12","f__Spirochaetaceae","Rib",3103,122,0.0326990083087644
"R2C12","f__Syntrophomonadaceae","Rib",3103,456,0.122219244170464
"R2C12","f__Veillonellaceae","Rib",3103,125,0.0335030822835701
"R2C12","Rare","Rib",3103,101,0.0270704904851246
"R2C13","f__Clostridiaceae","Rib",3434,1459,0.389378169202028
"R2C13","f__Comamonadaceae","Rib",3434,7,0.00186816119562317
"R2C13","f__Enterobacteriaceae","Rib",3434,126,0.033626901521217
"R2C13","f__Flavobacteriaceae","Rib",3434,0,0
"R2C13","f__Holophagaceae","Rib",3434,128,0.0341606618628236
"R2C13","f__Mogibacteriaceae","Rib",3434,55,0.014678409394182
"R2C13","f__Moraxellaceae","Rib",3434,1,0.0002668801708033
"R2C13","f__Phormidiaceae","Rib",3434,198,0.0528422738190552
"R2C13","f__Porphyromonadaceae","Rib",3434,10,0.00266880170803309
"R2C13","f__Pseudomonadaceae","Rib",3434,6,0.00160128102481986
"R2C13","f__Rhodocyclaceae","Rib",3434,7,0.00186816119562317
"R2C13","f__Rikenellaceae","Rib",3434,72,0.0192153722978383
"R2C13","f__Ruminococcaceae","Rib",3434,456,0.121697357886309
"R2C13","f__Sediment_4","Rib",3434,60,0.0160128102481986
"R2C13","f__Spirochaetaceae","Rib",3434,199,0.0531091539898586
"R2C13","f__Syntrophomonadaceae","Rib",3434,347,0.0926074192687483
"R2C13","f__Veillonellaceae","Rib",3434,447,0.119295436349079
"R2C13","Rare","Rib",3434,169,0.0451027488657592
"R2C15","f__Clostridiaceae","Rib",3962,404,0.111325434003858
"R2C15","f__Comamonadaceae","Rib",3962,220,0.0606227610912097
"R2C15","f__Enterobacteriaceae","Rib",3962,9,0.0024800220446404
"R2C15","f__Flavobacteriaceae","Rib",3962,8,0.00220446403968035
"R2C15","f__Holophagaceae","Rib",3962,1584,0.43648387985671
"R2C15","f__Mogibacteriaceae","Rib",3962,29,0.00799118214384128
"R2C15","f__Moraxellaceae","Rib",3962,4,0.00110223201984018
"R2C15","f__Phormidiaceae","Rib",3962,14,0.00385781206944062
"R2C15","f__Porphyromonadaceae","Rib",3962,47,0.0129512262331221
"R2C15","f__Pseudomonadaceae","Rib",3962,22,0.00606227610912097
"R2C15","f__Rhodocyclaceae","Rib",3962,135,0.037200330669606
"R2C15","f__Rikenellaceae","Rib",3962,51,0.0140534582529622
"R2C15","f__Ruminococcaceae","Rib",3962,194,0.0534582529622486
"R2C15","f__Sediment_4","Rib",3962,13,0.00358225406448057
"R2C15","f__Spirochaetaceae","Rib",3962,104,0.0286580325158446
"R2C15","f__Syntrophomonadaceae","Rib",3962,423,0.116561036098099
"R2C15","f__Veillonellaceae","Rib",3962,96,0.0264535684761642
"R2C15","Rare","Rib",3962,272,0.074951777349132
"R2C17","f__Clostridiaceae","Rib",4527,656,0.185783064287737
"R2C17","f__Comamonadaceae","Rib",4527,190,0.05380911922968
"R2C17","f__Enterobacteriaceae","Rib",4527,33,0.00934579439252336
"R2C17","f__Flavobacteriaceae","Rib",4527,29,0.00821297082979326
"R2C17","f__Holophagaceae","Rib",4527,390,0.110450297366185
"R2C17","f__Mogibacteriaceae","Rib",4527,120,0.0339847068819031
"R2C17","f__Moraxellaceae","Rib",4527,6,0.00169923534409516
"R2C17","f__Phormidiaceae","Rib",4527,3,0.00084961767204757
"R2C17","f__Porphyromonadaceae","Rib",4527,46,0.0130274709713962
"R2C17","f__Pseudomonadaceae","Rib",4527,1,0.00028320589068252
"R2C17","f__Rhodocyclaceae","Rib",4527,111,0.0314358538657604
"R2C17","f__Rikenellaceae","Rib",4527,43,0.0121778532993486
"R2C17","f__Ruminococcaceae","Rib",4527,251,0.0710846785613141
"R2C17","f__Sediment_4","Rib",4527,53,0.0150099122061739
"R2C17","f__Spirochaetaceae","Rib",4527,66,0.0186915887850467
"R2C17","f__Syntrophomonadaceae","Rib",4527,691,0.195695270461626
"R2C17","f__Veillonellaceae","Rib",4527,367,0.103936561880487
"R2C17","Rare","Rib",4527,475,0.1345227980742
"R2C2","f__Clostridiaceae","Rib",489,3283,0.769032560318576
"R2C2","f__Comamonadaceae","Rib",489,7,0.00163972827360037
"R2C2","f__Enterobacteriaceae","Rib",489,103,0.0241274303115484
"R2C2","f__Flavobacteriaceae","Rib",489,1,0.00023424689622862
"R2C2","f__Holophagaceae","Rib",489,6,0.00140548137737175
"R2C2","f__Mogibacteriaceae","Rib",489,4,0.0009369875849145
"R2C2","f__Moraxellaceae","Rib",489,35,0.00819864136800187
"R2C2","f__Phormidiaceae","Rib",489,0,0
"R2C2","f__Porphyromonadaceae","Rib",489,8,0.001873975169829
"R2C2","f__Pseudomonadaceae","Rib",489,64,0.014991801358632
"R2C2","f__Rhodocyclaceae","Rib",489,1,0.00023424689622862
"R2C2","f__Rikenellaceae","Rib",489,348,0.0815179198875615
"R2C2","f__Ruminococcaceae","Rib",489,98,0.0229561958304052
"R2C2","f__Sediment_4","Rib",489,0,0
"R2C2","f__Spirochaetaceae","Rib",489,3,0.00070274068868587
"R2C2","f__Syntrophomonadaceae","Rib",489,1,0.00023424689622862
"R2C2","f__Veillonellaceae","Rib",489,244,0.0571562426797845
"R2C2","Rare","Rib",489,63,0.0147575544624033
"R2C4","f__Clostridiaceae","Rib",989,2205,0.564227226202661
"R2C4","f__Comamonadaceae","Rib",989,104,0.0266120777891505
"R2C4","f__Enterobacteriaceae","Rib",989,141,0.0360798362333675
"R2C4","f__Flavobacteriaceae","Rib",989,19,0.0048618219037871
"R2C4","f__Holophagaceae","Rib",989,23,0.00588536335721597
"R2C4","f__Mogibacteriaceae","Rib",989,25,0.0063971340839304
"R2C4","f__Moraxellaceae","Rib",989,0,0
"R2C4","f__Phormidiaceae","Rib",989,10,0.00255885363357216
"R2C4","f__Porphyromonadaceae","Rib",989,41,0.0104912998976459
"R2C4","f__Pseudomonadaceae","Rib",989,13,0.00332650972364381
"R2C4","f__Rhodocyclaceae","Rib",989,57,0.0145854657113613
"R2C4","f__Rikenellaceae","Rib",989,135,0.0345445240532242
"R2C4","f__Ruminococcaceae","Rib",989,214,0.0547594677584442
"R2C4","f__Sediment_4","Rib",989,0,0
"R2C4","f__Spirochaetaceae","Rib",989,2,0.00051177072671443
"R2C4","f__Syntrophomonadaceae","Rib",989,16,0.00409416581371546
"R2C4","f__Veillonellaceae","Rib",989,643,0.16453428863869
"R2C4","Rare","Rib",989,260,0.0665301944728762
"R2C6","f__Clostridiaceae","Rib",1490,2678,0.678661936137861
"R2C6","f__Comamonadaceae","Rib",1490,5,0.00126710593005575
"R2C6","f__Enterobacteriaceae","Rib",1490,46,0.0116573745565129
"R2C6","f__Flavobacteriaceae","Rib",1490,0,0
"R2C6","f__Holophagaceae","Rib",1490,23,0.00582868727825646
"R2C6","f__Mogibacteriaceae","Rib",1490,79,0.0200202736948809
"R2C6","f__Moraxellaceae","Rib",1490,1,0.00025342118601115
"R2C6","f__Phormidiaceae","Rib",1490,7,0.00177394830207805
"R2C6","f__Porphyromonadaceae","Rib",1490,20,0.00506842372022301
"R2C6","f__Pseudomonadaceae","Rib",1490,0,0
"R2C6","f__Rhodocyclaceae","Rib",1490,1,0.00025342118601115
"R2C6","f__Rikenellaceae","Rib",1490,176,0.0446021287379625
"R2C6","f__Ruminococcaceae","Rib",1490,332,0.084135833755702
"R2C6","f__Sediment_4","Rib",1490,0,0
"R2C6","f__Spirochaetaceae","Rib",1490,11,0.00278763304612266
"R2C6","f__Syntrophomonadaceae","Rib",1490,52,0.0131779016725798
"R2C6","f__Veillonellaceae","Rib",1490,377,0.0955397871262038
"R2C6","Rare","Rib",1490,138,0.0349721236695388
"R2C8","f__Clostridiaceae","Rib",1980,1300,0.379340531076743
"R2C8","f__Comamonadaceae","Rib",1980,8,0.00233440326816458
"R2C8","f__Enterobacteriaceae","Rib",1980,129,0.0376422526991538
"R2C8","f__Flavobacteriaceae","Rib",1980,0,0
"R2C8","f__Holophagaceae","Rib",1980,169,0.0493142690399767
"R2C8","f__Mogibacteriaceae","Rib",1980,48,0.0140064196089875
"R2C8","f__Moraxellaceae","Rib",1980,51,0.0148818208345492
"R2C8","f__Phormidiaceae","Rib",1980,35,0.01021301429822
"R2C8","f__Porphyromonadaceae","Rib",1980,40,0.0116720163408229
"R2C8","f__Pseudomonadaceae","Rib",1980,0,0
"R2C8","f__Rhodocyclaceae","Rib",1980,18,0.00525240735337029
"R2C8","f__Rikenellaceae","Rib",1980,265,0.0773271082579516
"R2C8","f__Ruminococcaceae","Rib",1980,524,0.15290341406478
"R2C8","f__Sediment_4","Rib",1980,5,0.00145900204260286
"R2C8","f__Spirochaetaceae","Rib",1980,128,0.0373504522906332
"R2C8","f__Syntrophomonadaceae","Rib",1980,152,0.0443536620951269
"R2C8","f__Veillonellaceae","Rib",1980,406,0.118470965859352
"R2C8","Rare","Rib",1980,149,0.0434782608695652
"R3B","f__Clostridiaceae","Rib",0,1,0.00022867596615595
"R3B","f__Comamonadaceae","Rib",0,0,0
"R3B","f__Enterobacteriaceae","Rib",0,178,0.0407043219757603
